Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="00:00:01.442.535.840 029.441s (Mar-28-2024)",="Tx",="11 00 2A 0A 00 0A 10 AA ",="..* .....",="",="",=""
="00:00:01.442.621.920 086.080us",="Tx",="10 16 0B E4 11 FF 00 00 ",="........",="",="",=""
="00:00:01.442.707.840 085.920us",="Tx",="EA 60 00 00 05 67 00 01 ",=".`...g..",="",="",=""
="00:00:01.442.793.800 085.960us (Mar-28-2024)",="Tx",="64 A8 27 8C 29 27 B1 8B ",="d.''.)''..",="",="",=""
="00:00:01.442.879.720 085.920us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="00:00:01.442.965.840 086.120us",="Tx",="00 00 3C 18 17 A5 37 ",="..<...7",="",="",=""
="00:00:30.889.825.200 029.446s",="Tx",="11 00 2A 28 00 28 10 AA ",="..* (.(..",="",="",=""
="00:00:30.889.911.280 086.080us",="Tx",="10 16 0B E5 11 FF 00 00 ",="........",="",="",=""
="00:00:30.889.997.180 085.900us",="Tx",="EA 60 00 00 05 68 00 01 ",=".`...h..",="",="",=""
="00:00:30.890.083.120 085.940us",="Tx",="64 E3 27 8C 44 27 B1 95 ",="d.''.D''..",="",="",=""
="00:00:30.890.169.060 085.940us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="00:00:30.890.255.160 086.100us",="Tx",="00 00 3C 18 17 F2 0F ",="..<....",="",="",=""
="00:01:00.334.347.540 029.444s",="Tx",="11 00 2A 46 00 46 10 AA ",="..* F.F..",="",="",=""
="00:01:00.334.433.640 086.100us",="Tx",="10 16 0B E6 11 FF 00 00 ",="........",="",="",=""
="00:01:00.334.519.580 085.940us",="Tx",="EA 60 00 00 05 68 00 01 ",=".`...h..",="",="",=""
="00:01:00.334.605.520 085.940us",="Tx",="64 E3 27 8C 44 27 B1 95 ",="d.''.D''..",="",="",=""
="00:01:00.334.691.460 085.940us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="00:01:00.334.777.600 086.140us",="Tx",="00 00 3C 18 17 06 25 ",="..<...%",="",="",=""
="00:01:29.780.143.540 029.445s",="Tx",="11 00 2A 64 00 64 10 AA ",="..* d.d..",="",="",=""
="00:01:29.780.229.620 086.080us",="Tx",="10 16 0B E7 11 FF 00 00 ",="........",="",="",=""
="00:01:29.780.315.520 085.900us",="Tx",="EA 60 00 00 05 69 00 01 ",=".`...i..",="",="",=""
="00:01:29.780.401.500 085.980us",="Tx",="65 1E 27 8C 3C 27 B1 B4 ",="e.''.<''..",="",="",=""
="00:01:29.780.487.460 085.960us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="00:01:29.780.573.600 086.140us (Mar-28-2024)",="Tx",="00 00 3C 18 17 79 42 ",="..<..yB",="",="",=""
