Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="09:12:39.956.474.040 086.380us",="Tx",="00 1C 23 E3 36 22 A9 9D ",="..#.6""..",="",="",=""
="09:12:39.956.560.400 086.360us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:39.956.646.780 086.380us",="Tx",="00 00 00 1A 18 8E 5A ",="......Z",="",="",=""
="09:12:40.986.618.620 005.629ms",="Tx",="11 00 2A 6E 00 6E 10 FF ",="..* n.n..",="",="",=""
="09:12:40.986.704.960 086.340us",="Tx",="00 00 00 6F 02 FF 00 00 ",="...o....",="",="",=""
="09:12:40.986.791.300 086.340us",="Tx",="3A 99 00 00 00 17 00 00 ",=":.......",="",="",=""
="09:12:40.986.877.660 086.360us",="Tx",="00 1C 23 E3 36 22 A9 9D ",="..#.6""..",="",="",=""
="09:12:40.986.964.020 086.360us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:40.987.050.400 086.380us",="Tx",="00 00 00 1A 18 42 91 ",=".....B.",="",="",=""
="09:12:42.017.127.100 005.710ms",="Tx",="11 00 2A 70 00 70 10 FF ",="..* p.p..",="",="",=""
="09:12:42.017.213.500 086.400us",="Tx",="00 00 00 70 02 FF 00 00 ",="...p....",="",="",=""
="09:12:42.017.299.880 086.380us",="Tx",="3A 99 00 00 00 17 00 00 ",=":.......",="",="",=""
="09:12:42.017.386.280 086.400us",="Tx",="00 1C 23 E3 36 22 A9 9D ",="..#.6""..",="",="",=""
="09:12:42.017.472.660 086.380us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:42.017.559.060 086.400us",="Tx",="00 00 00 1A 18 51 45 ",=".....QE",="",="",=""
="09:12:43.047.583.120 006.030ms",="Tx",="11 00 2A 72 00 72 10 FF ",="..* r.r..",="",="",=""
="09:12:43.047.669.500 086.380us",="Tx",="00 00 00 71 02 FF 00 00 ",="...q....",="",="",=""
="09:12:43.047.755.900 086.400us",="Tx",="3A 99 00 00 00 17 00 00 ",=":.......",="",="",=""
="09:12:43.047.842.260 086.360us",="Tx",="00 1C 23 E3 36 22 A9 9D ",="..#.6""..",="",="",=""
